,Title,Author,Series,Lang,Label
352,3001,Clarke Arthur C,Odyssey 4,English,Non-Indian
353,3001,Clarke Arthur C,Odyssey 4,English,Non-Indian
354,3001,Clarke Arthur C,Odyssey 4,English,Non-Indian
355,3001,Clarke Arthur C,Odyssey 4,English,Non-Indian
356,3001,Clarke Arthur C,Odyssey 4,English,Non-Indian
357,3001,Clarke Arthur C,Odyssey 4,English,Non-Indian
358,3001,Clarke Arthur C,,English,Non-Indian
359,3001,Clarke Arthur C,Odessey 4,English,Non-Indian
360,3001,Clarke Arthur C,Odessey 4,English,Non-Indian
361,3001,Clarke Arthur C,Odessey 4,English,Non-Indian
362,$16949,Niven Larry,,English,Non-Indian
363,$30000 Bequest And Other Stories The,Twain Mark,,English,Non-Indian
364,(1933-07) Pirate of the Pacific,Robeson Kenneth,Doc Savage 5 (B019),English,Non-Indian
365,(Serious) Actualism and (Serious) Presentism,Bergmann Michael,,English,Non-Indian
366,01 Cloud Warrior,Tilley Patrick,,English,Non-Indian
367,10 Dragonflight,McCaffrey Anne,,English,Non-Indian
368,10 Mirror Dance,Bujold Lois McMaster,,English,Non-Indian
369,10 The Model of a Judge,Morrison William,Galaxy 1953,English,Non-Indian
370,10 The Model of a Judge,Morrison William,Galaxy 1953,English,Non-Indian
371,10 years of Nebula Awards,Dickson Gordon R,,English,Non-Indian
372,10 years of Nebula Awards,Dickson Gordon R,,English,Non-Indian
373,100724,Bisson Terry,,English,Non-Indian
374,10^16 To 1,Kelly James Patrick,,English,Non-Indian
375,10^16 To 1,Kelly James Patrick,,English,Non-Indian
376,100 Fathoms Under,Blaine John,Rick Brant 4,English,Non-Indian
377,100 Fathoms Under,Blaine John,Rick Brant 4,English,Non-Indian
378,100 Fathoms Under,Blaine John,Rick Brant 4,English,Non-Indian
379,10000 Light Years From Home,Tiptree James Jr,,English,Non-Indian
380,10000 Light Years From Home,Tiptree James Jr,,English,Non-Indian
381,11 Memory,Bujold Lois McMaster,,English,Non-Indian
382,12 Chronicles of Pern First Fall,McCaffrey Anne,PERN,English,Non-Indian
383,12 Sharpe\,,,,Non-Indian
384,120 days of sodom,de Sade Marquis,,English,Non-Indian
385,1-25 Periodic Table Of Science Fiction,Swanwick Michael,,English,Non-Indian
386,13  Dialogue On The Way Of Knowledge Part II,Castaneda Carlos,,English,Non-Indian
387,13 Bullets,Wellington David,,English,Non-Indian
388,14  Dialogue On The Way Of Knowledge Part III,Castaneda Carlos,,English,Non-Indian
389,15  Dialogue On The Way Of Knowledge Part IV,Castaneda Carlos,,English,Non-Indian
390,16  Dialogue On The Way Of Knowledge Part V,Castaneda Carlos,,English,Non-Indian
391,1634 The Baltic War,Flint Eric; Weber David,Grantville 5,English,Non-Indian
392,1634 The Baltic War,Flint Eric,Grantville 5,English,Non-Indian
393,1634 The Baltic War42,Flint Eric; Weber David,,English,Non-Indian
394,1634 The Baltic War42,Flint Eric; Weber David,,English,Non-Indian
395,1634 The Bavarian Crisis,Flint Eric; DeMarce Virginia,Grantville 6,English,Non-Indian
396,1634 The Bavarian Crisis,Flint Eric,Grantville 6,English,Non-Indian
397,1634 The Bavarian Crisis,Flint Eric,Grantville 6,English,Non-Indian
398,1634 The Bavarian Crisis,Flint Eric,Grantville 6,English,Non-Indian
399,1634 The Galileo Affair,Flint Eric,Ring of Fire 3,English,Non-Indian
400,1634 The Galileo Affair,Flint Eric,Ring of Fire 3,English,Non-Indian
401,1634 The Galileo Affair,Flint Eric; Dennis Andrew,Ring of Fire 3,English,Non-Indian
402,1634 The Galileo Affair,Flint Eric,Ring of Fire 3,English,Non-Indian
403,1634 The Galileo Affair,Flint Eric,Ring of Fire 3,English,Non-Indian
404,1634 The Galileo Affair,Flint Eric,Ring of Fire 3,English,Non-Indian
405,1634 The Galileo Affair,Flint Eric,Ring of Fire 3,English,Non-Indian
406,1634 The Galileo Affair,Flewelling Lynn,,English,Non-Indian
407,1634 The Galileo Affair,Flint Eric,Ring of Fire 3,English,Non-Indian
408,1634 The Ram Rebellion,Flint Eric,Ring of Fire 4,English,Non-Indian
409,1634 The Ram Rebellion,Flint Eric,Grantville 4,English,Non-Indian
410,1634 The Ram Rebellion,Flint Eric,Grantville 4,English,Non-Indian
411,1634 The Ram Rebellion,Flint Eric,Ring of Fire 4,English,Non-Indian
412,1634 The Ram Rebellion,Flint Eric; DeMarce Virginia,Ring of Fire 4,English,Non-Indian
413,1634 The Ram Rebellion,Flint Eric; DeMarce Virginia,Ring of Fire 4,English,Non-Indian
414,1634 The Ram Rebellion,Flint Eric,Ring of Fire 4,English,Non-Indian
415,1634 The Ram Rebellion,Flint Eric,Ring of Fire 4,English,Non-Indian
416,1634; The Galileo Affair,Flint Eric; Dennis A,Ring of Fire 3,English,Non-Indian
417,1634; The Ram Rebellion,Flint Eric; DeMarce Virginia,Ring of Fire 4,English,Non-Indian
418,1634; The Ram Rebellion,Flint Eric; DeMarce Virginia,Ring of Fire 4,English,Non-Indian
419,1634-The Bavarian Crisis,Flint Eric,Ring of Fire 4,English,Non-Indian
420,1635 Cannon Law ( advance reader copy),Flint Eric; Dennis Andrew,Ring of Fire 5,English,Non-Indian
421,1635 Cannon Law ( ARC),Flint Eric,Ring of Fire 5,English,Non-Indian
422,1635 The Cannon Law,Flint Eric,Ring of Fire 5,English,Non-Indian
423,1635 The Cannon Law,Flint Eric,Ring of Fire 5,English,Non-Indian
424,1635 The Cannon Law,Flint Eric; Dennis Andrew,Ring of Fire 5,English,Non-Indian
425,1635 The Cannon Law,Flint Eric; Dennis Andrew,Ring of Fire 5,English,Non-Indian
426,1635 The Cannon Law,Flint Eric; Dennis Andrew,Ring of Fire 5,English,Non-Indian
427,1635 The Cannon Law,Flint Eric; Dennis Andrew,Ring of Fire 5,English,Non-Indian
428,1635 The Canon Law (with Andrew Dennis)(ARC),Flint Eric,Ring of Fire 5,English,Non-Indian
429,1635 The Dreeson Incident,Flint Eric; DeMarce Virginia,,English,Non-Indian
430,1635-The Cannon Law ARC,Flint Eric,Ring of Fire 5,English,Non-Indian
431,1635-The Cannon Law ARC,Flint Eric,Ring of Fire 5,English,Non-Indian
432,1635-The Cannon Law ARC,Flint Eric,Ring of Fire 5,English,Non-Indian
433,17  Dialogue On The Way Of Knowledge Part VI,Castaneda Carlos,,English,Non-Indian
434,17 24,Bisson Terry,,English,Non-Indian
435,1799 Sharpe\,,,,Non-Indian
436,18  Dialogue On The Way Of Knowledge Part VII,Castaneda Carlos,,English,Non-Indian
437,18 Essays and Short Fiction,Blish James,,English,Non-Indian
438,18 Essays and Short Fiction,Blish James,,English,Non-Indian
439,1-800-Clone-Me,Lee Mary Soon,,English,Non-Indian
440,1803 09 Sharpe\,,,,Non-Indian
441,1803 12 Sharpe\,,,,Non-Indian
